id,song_name,level,level_index,score,rating,over_power,clear,full_combo,full_chain,rank,upload_time,play_time
938,Therapeutic Hoedown,14,3,998217,15.32868,76.6434,clear,,,sp,2024-06-14 07:49:46,
2117,Qliphothgear,14+,3,988650,15.046,75.23,clear,,,s,2024-06-14 07:49:46,
2120,Inpaqq,13+,3,997811,14.81244,74.0622,clear,,,sp,2024-06-14 07:49:46,
697,folern,14+,3,1002405,15.9405,79.7025,failed,,,ss,2024-06-14 07:49:44,2024-06-14 04:26:00
881,Trrricksters!!,15,3,597815,1.6791575,8.3957875,failed,,,c,2024-06-14 07:49:44,2024-06-10 12:41:00
993,B100d Hunter,14+,3,993504,15.44016,77.2008,failed,,,sp,2024-06-14 07:49:44,2024-06-03 06:32:00
981,小悪魔の遊園地,15,3,987635,15.6054,78.027,failed,,,s,2024-06-14 07:49:44,2024-06-03 06:22:00
2076,FIRE BIRD,13+,3,979532,13.68128,0,failed,,,s,2024-06-14 07:49:44,2024-06-03 05:53:00
993,B100d Hunter,14+,3,984330,15.0732,75.366,failed,,,s,2024-06-14 07:49:44,2024-05-27 10:29:00
559,otorii INNOVATED -[i]3-,15,3,981233,15.44932,77.2466,failed,,,s,2024-06-14 07:49:44,2024-04-30 13:45:00
2171,Titania,15,3,1003485,16.3485,81.7425,failed,,,ss,2024-06-14 07:49:44,2024-04-30 13:34:00
823,Opfer,15,3,996201,15.84804,79.2402,failed,,,sp,2024-06-14 07:49:44,2024-04-30 13:12:00
1035,赤壁、大炎上！！,15,3,978013,15.22052,76.1026,failed,,,s,2024-06-14 07:49:44,2024-04-30 12:59:00
2208,Reverberate,15,3,1004181,16.6181,83.0905,clear,,,ss,2024-06-14 07:49:46,
1016,Parad'ox,14+,3,1003803,16.0803,80.4015,clear,,,ss,2024-06-14 07:49:46,
625,volcanic,14,3,1004144,15.8144,79.072,clear,,,ss,2024-06-14 07:49:46,
464,World Vanquisher,15+,3,983410,15.8364,79.182,failed,,,s,2024-06-14 07:49:46,
619,End Time,15,3,992625,15.805,79.025,clear,,,sp,2024-06-14 07:49:46,
386,神威,15,3,991091,15.74364,78.7182,clear,,,sp,2024-06-14 07:49:46,
2039,]-[|/34<#!,14+,3,990170,15.5068,0,clear,,,sp,2024-06-14 07:49:46,
2134,Iudicium “Apocalypsis Mix”,14,3,1000748,15.4748,77.374,clear,,,ss,2024-06-14 07:49:46,
